+----+----------------------------------------+-----------------------------------------------+---------------------+------+------+--+--+------------------+-----+------+--+--+--+--+---------+---+
|  1 | sbddigital.com                         | http://sbddigital.com                         | 2016-09-27 16:20:26 |    1 |    1 |  |  | Asia/Ho_Chi_Minh | USD |    0 |  |  |  |  | website | 0 |
|  2 | vtvgovodobj.b5695cde.cdnviet.com       | http://vtvgovodobj.b5695cde.cdnviet.com       | 2016-11-09 00:00:00 |    0 |    1 |  |  | Asia/Ho_Chi_Minh | USD |    0 |  |  |  |  | website | 0 |
|  3 | vtvgovodvmsobj.b5695cde.cdnviet.com    | http://vtvgovodvmsobj.b5695cde.cdnviet.com    | 2016-11-09 00:00:00 |    0 |    1 |  |  | Asia/Ho_Chi_Minh | USD |    0 |  |  |  |  | website | 0 |
|  4 | vtvgotimeshiftobj.b5695cde.cdnviet.com | http://vtvgotimeshiftobj.b5695cde.cdnviet.com | 2016-11-09 00:00:00 |    0 |    1 |  |  | Asia/Ho_Chi_Minh | USD |    0 |  |  |  |  | website | 0 |
|  5 | vtvgo67obj.b5695cde.cdnviet.com        | http://vtvgo67obj.b5695cde.cdnviet.com        | 2016-11-09 00:00:00 |    0 |    1 |  |  | Asia/Ho_Chi_Minh | USD |    0 |  |  |  |  | website | 0 |
|  6 | vtvgo45obj.b5695cde.cdnviet.com        | http://vtvgo45obj.b5695cde.cdnviet.com        | 2016-11-09 00:00:00 |    0 |    1 |  |  | Asia/Ho_Chi_Minh | USD |    0 |  |  |  |  | website | 0 |
|  7 | vtvgo289obj.b5695cde.cdnviet.com       | http://vtvgo289obj.b5695cde.cdnviet.com       | 2016-11-09 00:00:00 |    0 |    1 |  |  | Asia/Ho_Chi_Minh | USD |    0 |  |  |  |  | website | 0 |
|  8 | vtvgo13obj.b5695cde.cdnviet.com        | http://vtvgo13obj.b5695cde.cdnviet.com        | 2016-11-09 00:00:00 |    0 |    1 |  |  | Asia/Ho_Chi_Minh | USD |    0 |  |  |  |  | website | 0 |
|  9 | vtvgoeuroobj.b5695cde.cdnviet.com      | http://vtvgoeuroobj.b5695cde.cdnviet.com      | 2016-11-09 00:00:00 |    0 |    1 |  |  | Asia/Ho_Chi_Minh | USD |    0 |  |  |  |  | website | 0 |
| 10 | thvllive.bb87e240.cdnviet.com          | http://thvllive.bb87e240.cdnviet.com          | 2016-11-09 00:00:00 |    0 |    1 |  |  | Asia/Ho_Chi_Minh | USD |    0 |  |  |  |  | website | 0 |
| 11 | rez1.bangbang.cgame.vn                 | http://rez1.bangbang.cgame.vn                 | 2016-11-09 00:00:00 |    0 |    1 |  |  | Asia/Ho_Chi_Minh | USD |    0 |  |  |  |  | website | 0 |
| 12 | stream.easyvideo.vn                    | http://stream.easyvideo.vn                    | 2016-11-09 00:00:00 |    0 |    1 |  |  | Asia/Ho_Chi_Minh | USD |    0 |  |  |  |  | website | 0 |
| 13 | vividobj.653a351d.cdnviet.com          | http://vividobj.653a351d.cdnviet.com          | 2016-11-09 00:00:00 |    0 |    1 |  |  | Asia/Ho_Chi_Minh | USD |    0 |  |  |  |  | website | 0 |
| 14 | vtvgofilmobj.b5695cde.cdnviet.com      | http://vtvgofilmobj.b5695cde.cdnviet.com      | 2016-11-10 00:00:00 |    0 |    1 |  |  | Asia/Ho_Chi_Minh | USD |    0 |  |  |  |  | website | 0 |
| 15 | rez.bangbang.cgame.vn                  | http://rez.bangbang.cgame.vn                  | 2016-11-10 00:00:00 |    0 |    1 |  |  | Asia/Ho_Chi_Minh | USD |    0 |  |  |  |  | website | 0 |
| 16 | hpl2016obj.b5695cde.cdnviet.com        | http://hpl2016obj.b5695cde.cdnviet.com        | 2016-11-12 00:00:00 |    0 |    1 |  |  | Asia/Ho_Chi_Minh | USD |    0 |  |  |  |  | website | 0 |
| 17 | grabyoobj.b5695cde.cdnviet.com         | http://grabyoobj.b5695cde.cdnviet.com         | 2016-11-13 00:00:00 |    0 |    1 |  |  | Asia/Ho_Chi_Minh | USD |    0 |  |  |  |  | website | 0 |
| 18 | vtvgoqtcsobj.b5695cde.cdnviet.com      | http://vtvgoqtcsobj.b5695cde.cdnviet.com      | 2016-11-19 00:00:00 |    0 |    1 |  |  | Asia/Ho_Chi_Minh | USD |    0 |  |  |  |  | website | 0 |
| 19 | vtvgoaffobj.b5695cde.cdnviet.com       | http://vtvgoaffobj.b5695cde.cdnviet.com       | 2016-11-20 00:00:00 |    0 |    1 |  |  | Asia/Ho_Chi_Minh | USD |    0 |  |  |  |  | website | 0 |
+----+----------------------------------------+-----------------------------------------------+---------------------+------+------+--+--+------------------+-----+------+--+--+--+--+---------+---+
